line,xor,penalty,greedy_or,budget
3013,63,5,1000,1000
3017,63,5,1000,1000
3040,63,5,1000,1000
3097,63,5,1000,1000
3100,62,5,1000,1000
3103,62,5,1000,1000
3109,63,5,1000,1000
3114,63,5,1000,1000
3116,63,5,1000,1000
3119,63,5,1000,1000
3122,63,5,1000,1000
3125,63,5,1000,1000
3128,63,5,1000,1000
3131,63,5,1000,1000
3137,63,5,1000,1000
3140,63,5,1000,1000
3232,62,5,1000,1000
3233,62,5,1000,1000
3236,62,5,1000,1000
3254,62,5,1000,1000
3258,62,5,1000,1000
3276,63,5,1000,1000
3283,63,5,1000,1000
3365,63,5,1000,1000
3370,63,5,1000,1000
3502,63,5,1000,1000
3512,63,5,1000,1000
3517,63,5,1000,1000
3633,63,5,1000,1000
3637,62,5,1000,1000
3641,62,5,1000,1000
3649,63,5,1000,1000
3652,63,5,1000,1000
3659,63,5,1000,1000
3662,63,5,1000,1000
3666,63,5,1000,1000
3670,63,5,1000,1000
3674,63,5,1000,1000
3678,63,5,1000,1000
3686,63,5,1000,1000
3690,63,5,1000,1000
3714,63,5,1000,1000
3774,63,5,1000,1000
3777,62,5,1000,1000
3780,62,5,1000,1000
3786,63,5,1000,1000
3789,63,5,1000,1000
3794,63,5,1000,1000
3796,63,5,1000,1000
3799,63,5,1000,1000
3802,63,5,1000,1000
3805,63,5,1000,1000
3808,63,5,1000,1000
3811,63,5,1000,1000
3817,63,5,1000,1000
3820,63,5,1000,1000
3917,62,5,1000,1000
3918,62,5,1000,1000
3940,62,5,1000,1000
3945,62,5,1000,1000
3983,63,5,1000,1000
3986,63,5,1000,1000
3990,63,5,1000,1000
4968,63,3,1000,1000
4969,63,3,1000,1000
4976,63,3,1000,1000
4977,63,3,1000,1000
4978,63,3,1000,1000
4986,63,3,1000,1000
4987,63,3,1000,1000
5002,63,3,1000,1000
5003,63,3,1000,1000
5004,63,3,1000,1000
5015,63,3,1000,1000
5016,63,3,1000,1000
5023,63,3,1000,1000
5024,63,3,1000,1000
5025,63,3,1000,1000
5033,63,3,1000,1000
5034,63,3,1000,1000
5049,63,3,1000,1000
5050,63,3,1000,1000
5465,63,3,1000,1000
5635,63,3,1000,1000
5649,63,3,1000,1000
5650,63,3,1000,1000
5651,63,3,1000,1000
5659,63,3,1000,1000
5660,63,3,1000,1000
5676,63,3,1000,1000
5677,63,3,1000,1000
5679,63,3,1000,1000
5689,63,3,1000,1000
5690,63,3,1000,1000
5691,63,3,1000,1000
5699,63,3,1000,1000
5700,63,3,1000,1000
5717,63,3,1000,1000
5718,63,3,1000,1000
5930,63,3,1000,1000
6115,63,3,1000,1000
6130,63,3,1000,1000
6131,63,3,1000,1000
6132,63,3,1000,1000
6142,63,4,1000,1000
6147,63,3,1000,1000
6148,63,3,1000,1000
6167,63,3,1000,1000
6168,63,3,1000,1000
6185,63,3,1000,1000
6186,63,3,1000,1000
6189,63,3,1000,1000
6201,63,3,1000,1000
6202,63,3,1000,1000
6219,63,3,1000,1000
6220,63,3,1000,1000
6437,63,3,1000,1000
6450,63,3,1000,1000
6452,63,3,1000,1000
6482,63,3,1000,1000
7564,63,3,1000,1000
7565,63,3,1000,1000
7572,63,3,1000,1000
7573,63,3,1000,1000
7581,63,3,1000,1000
7582,63,3,1000,1000
7598,63,3,1000,1000
7599,63,3,1000,1000
7600,63,3,1000,1000
7612,63,3,1000,1000
7613,63,3,1000,1000
7620,63,3,1000,1000
7621,63,3,1000,1000
7629,63,3,1000,1000
7630,63,3,1000,1000
7646,63,3,1000,1000
7647,63,3,1000,1000
7875,63,5,1000,1000
8248,63,3,1000,1000
8262,63,3,1000,1000
8263,63,3,1000,1000
8271,63,3,1000,1000
8272,63,3,1000,1000
8288,63,3,1000,1000
8289,63,3,1000,1000
8291,63,3,1000,1000
8302,63,3,1000,1000
8303,63,3,1000,1000
8311,63,3,1000,1000
8312,63,3,1000,1000
8328,63,3,1000,1000
8329,63,3,1000,1000
8707,63,3,1000,1000
8720,63,3,1000,1000
8721,63,3,1000,1000
8739,63,3,1000,1000
8740,63,3,1000,1000
8743,63,3,1000,1000
8757,63,3,1000,1000
8758,63,3,1000,1000
8777,63,3,1000,1000
8778,63,3,1000,1000
9045,63,3,1000,1000
9117,63,3,1000,1000
9119,63,3,1000,1000
9150,63,3,1000,1000
9182,63,5,1000,1000
9184,63,3,1000,1000
9187,63,3,1000,1000
9195,63,5,1000,1000
9197,63,5,1000,1000
9199,63,5,1000,1000
9202,63,5,1000,1000
9204,63,5,1000,1000
9206,63,5,1000,1000
9208,63,5,1000,1000
9213,63,5,1000,1000
9215,63,3,1000,1000
9216,63,3,1000,1000
9223,63,3,1000,1000
9224,63,3,1000,1000
9225,63,3,1000,1000
9226,63,3,1000,1000
9240,63,3,1000,1000
9241,63,3,1000,1000
9283,63,3,1000,1000
9284,63,3,1000,1000
9285,63,3,1000,1000
9300,63,3,1000,1000
9301,63,3,1000,1000
9313,63,5,1000,1000
9315,63,3,1000,1000
9318,63,3,1000,1000
9326,63,5,1000,1000
9328,63,5,1000,1000
9330,63,5,1000,1000
9333,63,5,1000,1000
9335,63,5,1000,1000
9337,63,5,1000,1000
9339,63,5,1000,1000
9344,63,5,1000,1000
9346,63,3,1000,1000
9347,63,3,1000,1000
9354,63,3,1000,1000
9355,63,3,1000,1000
9356,63,3,1000,1000
9370,63,3,1000,1000
9371,63,3,1000,1000
9413,63,3,1000,1000
9414,63,3,1000,1000
9429,63,3,1000,1000
9430,63,3,1000,1000
9973,63,3,1000,1000
9974,63,3,1000,1000
9982,63,3,1000,1000
9983,63,3,1000,1000
9997,63,3,1000,1000
9998,63,3,1000,1000
10000,63,3,1000,1000
10010,63,3,1000,1000
10011,63,3,1000,1000
10019,63,3,1000,1000
10020,63,3,1000,1000
10034,63,3,1000,1000
10035,63,3,1000,1000
10336,63,3,1000,1000
10379,63,3,1000,1000
10392,63,3,1000,1000
10393,63,3,1000,1000
10408,63,3,1000,1000
10409,63,3,1000,1000
10412,63,3,1000,1000
10425,63,3,1000,1000
10426,63,3,1000,1000
10441,63,3,1000,1000
10442,63,3,1000,1000
10568,63,3,1000,1000
10624,63,3,1000,1000
